geolocation,Year,indicator,value,Target_Number
Region 1: Ilocos Region,2010,1.2.1 Poverty Proportion,,1.2.
Region 1: Ilocos Region,2011,1.2.1 Poverty Proportion,,1.2.
Region 1: Ilocos Region,2012,1.2.1 Poverty Proportion,,1.2.
Region 1: Ilocos Region,2013,1.2.1 Poverty Proportion,,1.2.
Region 1: Ilocos Region,2014,1.2.1 Poverty Proportion,,1.2.
Region 1: Ilocos Region,2015,1.2.1 Poverty Proportion,18.8,1.2.
Region 1: Ilocos Region,2016,1.2.1 Poverty Proportion,,1.2.
Region 1: Ilocos Region,2017,1.2.1 Poverty Proportion,,1.2.
Region 1: Ilocos Region,2018,1.2.1 Poverty Proportion,9.9,1.2.
Region 1: Ilocos Region,2019,1.2.1 Poverty Proportion,,1.2.
Region 1: Ilocos Region,2020,1.2.1 Poverty Proportion,,1.2.
Region 1: Ilocos Region,2021,1.2.1 Poverty Proportion,,1.2.
Region 1: Ilocos Region,2022,1.2.1 Poverty Proportion,,1.2.
Region 2: Cagayan Valley,2000,1.2.1 Poverty Proportion,,1.2.
Region 2: Cagayan Valley,2001,1.2.1 Poverty Proportion,,1.2.
Region 2: Cagayan Valley,2002,1.2.1 Poverty Proportion,,1.2.
Region 2: Cagayan Valley,2003,1.2.1 Poverty Proportion,,1.2.
Region 2: Cagayan Valley,2004,1.2.1 Poverty Proportion,,1.2.
Region 2: Cagayan Valley,2005,1.2.1 Poverty Proportion,,1.2.
Region 2: Cagayan Valley,2006,1.2.1 Poverty Proportion,,1.2.
Region 2: Cagayan Valley,2007,1.2.1 Poverty Proportion,,1.2.
Region 2: Cagayan Valley,2008,1.2.1 Poverty Proportion,,1.2.
Region 2: Cagayan Valley,2009,1.2.1 Poverty Proportion,,1.2.
Region 2: Cagayan Valley,2010,1.2.1 Poverty Proportion,,1.2.
Region 2: Cagayan Valley,2011,1.2.1 Poverty Proportion,,1.2.
Region 2: Cagayan Valley,2012,1.2.1 Poverty Proportion,,1.2.
Region 2: Cagayan Valley,2013,1.2.1 Poverty Proportion,,1.2.
Region 2: Cagayan Valley,2014,1.2.1 Poverty Proportion,,1.2.
Region 2: Cagayan Valley,2015,1.2.1 Poverty Proportion,17.8,1.2.
Region 2: Cagayan Valley,2016,1.2.1 Poverty Proportion,,1.2.
Region 2: Cagayan Valley,2017,1.2.1 Poverty Proportion,,1.2.
Region 2: Cagayan Valley,2018,1.2.1 Poverty Proportion,16.3,1.2.
Region 2: Cagayan Valley,2019,1.2.1 Poverty Proportion,,1.2.
Region 2: Cagayan Valley,2020,1.2.1 Poverty Proportion,,1.2.
Region 2: Cagayan Valley,2021,1.2.1 Poverty Proportion,,1.2.
Region 2: Cagayan Valley,2022,1.2.1 Poverty Proportion,,1.2.
Region 3: Central Luzon,2000,1.2.1 Poverty Proportion,,1.2.
Region 3: Central Luzon,2001,1.2.1 Poverty Proportion,,1.2.
Region 3: Central Luzon,2002,1.2.1 Poverty Proportion,,1.2.
Region 3: Central Luzon,2003,1.2.1 Poverty Proportion,,1.2.
Region 3: Central Luzon,2004,1.2.1 Poverty Proportion,,1.2.
Region 3: Central Luzon,2005,1.2.1 Poverty Proportion,,1.2.
Region 3: Central Luzon,2006,1.2.1 Poverty Proportion,,1.2.
Region 3: Central Luzon,2007,1.2.1 Poverty Proportion,,1.2.
Region 3: Central Luzon,2008,1.2.1 Poverty Proportion,,1.2.
Region 3: Central Luzon,2009,1.2.1 Poverty Proportion,,1.2.
Region 3: Central Luzon,2010,1.2.1 Poverty Proportion,,1.2.
Region 3: Central Luzon,2011,1.2.1 Poverty Proportion,,1.2.
Region 3: Central Luzon,2012,1.2.1 Poverty Proportion,,1.2.
Region 3: Central Luzon,2013,1.2.1 Poverty Proportion,,1.2.
Region 3: Central Luzon,2014,1.2.1 Poverty Proportion,,1.2.
Region 3: Central Luzon,2015,1.2.1 Poverty Proportion,10.5,1.2.
Region 3: Central Luzon,2016,1.2.1 Poverty Proportion,,1.2.
Region 3: Central Luzon,2017,1.2.1 Poverty Proportion,,1.2.
Region 3: Central Luzon,2018,1.2.1 Poverty Proportion,7,1.2.
Region 3: Central Luzon,2019,1.2.1 Poverty Proportion,,1.2.
Region 3: Central Luzon,2020,1.2.1 Poverty Proportion,,1.2.
Region 3: Central Luzon,2021,1.2.1 Poverty Proportion,,1.2.
Region 3: Central Luzon,2022,1.2.1 Poverty Proportion,,1.2.
Region 4A: CALABARZON,2000,1.2.1 Poverty Proportion,,1.2.
Region 4A: CALABARZON,2001,1.2.1 Poverty Proportion,,1.2.
Region 4A: CALABARZON,2002,1.2.1 Poverty Proportion,,1.2.
Region 4A: CALABARZON,2003,1.2.1 Poverty Proportion,,1.2.
Region 4A: CALABARZON,2004,1.2.1 Poverty Proportion,,1.2.
Region 4A: CALABARZON,2005,1.2.1 Poverty Proportion,,1.2.
Region 4A: CALABARZON,2006,1.2.1 Poverty Proportion,,1.2.
Region 4A: CALABARZON,2007,1.2.1 Poverty Proportion,,1.2.
Region 4A: CALABARZON,2008,1.2.1 Poverty Proportion,,1.2.
Region 4A: CALABARZON,2009,1.2.1 Poverty Proportion,,1.2.
Region 4A: CALABARZON,2010,1.2.1 Poverty Proportion,,1.2.
Region 4A: CALABARZON,2011,1.2.1 Poverty Proportion,,1.2.
Region 4A: CALABARZON,2012,1.2.1 Poverty Proportion,,1.2.
Region 4A: CALABARZON,2013,1.2.1 Poverty Proportion,,1.2.
Region 4A: CALABARZON,2014,1.2.1 Poverty Proportion,,1.2.
Region 4A: CALABARZON,2015,1.2.1 Poverty Proportion,12.5,1.2.
Region 4A: CALABARZON,2016,1.2.1 Poverty Proportion,,1.2.
Region 4A: CALABARZON,2017,1.2.1 Poverty Proportion,,1.2.
Region 4A: CALABARZON,2018,1.2.1 Poverty Proportion,7.1,1.2.
Region 4A: CALABARZON,2019,1.2.1 Poverty Proportion,,1.2.
Region 4A: CALABARZON,2020,1.2.1 Poverty Proportion,,1.2.
Region 4A: CALABARZON,2021,1.2.1 Poverty Proportion,,1.2.
Region 4A: CALABARZON,2022,1.2.1 Poverty Proportion,,1.2.
Region 5: Bicol Region,2000,1.2.1 Poverty Proportion,,1.2.
Region 5: Bicol Region,2001,1.2.1 Poverty Proportion,,1.2.
Region 5: Bicol Region,2002,1.2.1 Poverty Proportion,,1.2.
Region 5: Bicol Region,2003,1.2.1 Poverty Proportion,,1.2.
Region 5: Bicol Region,2004,1.2.1 Poverty Proportion,,1.2.
Region 5: Bicol Region,2005,1.2.1 Poverty Proportion,,1.2.
Region 5: Bicol Region,2006,1.2.1 Poverty Proportion,,1.2.
Region 5: Bicol Region,2007,1.2.1 Poverty Proportion,,1.2.
Region 5: Bicol Region,2008,1.2.1 Poverty Proportion,,1.2.
Region 5: Bicol Region,2009,1.2.1 Poverty Proportion,,1.2.
Region 5: Bicol Region,2010,1.2.1 Poverty Proportion,,1.2.
Region 5: Bicol Region,2011,1.2.1 Poverty Proportion,,1.2.
Region 5: Bicol Region,2012,1.2.1 Poverty Proportion,,1.2.
Region 5: Bicol Region,2013,1.2.1 Poverty Proportion,,1.2.
Region 5: Bicol Region,2014,1.2.1 Poverty Proportion,,1.2.
Region 5: Bicol Region,2015,1.2.1 Poverty Proportion,39.8,1.2.
Region 5: Bicol Region,2016,1.2.1 Poverty Proportion,,1.2.
Region 5: Bicol Region,2017,1.2.1 Poverty Proportion,,1.2.
Region 5: Bicol Region,2018,1.2.1 Poverty Proportion,27,1.2.
Region 5: Bicol Region,2019,1.2.1 Poverty Proportion,,1.2.
Region 5: Bicol Region,2020,1.2.1 Poverty Proportion,,1.2.
Region 5: Bicol Region,2021,1.2.1 Poverty Proportion,,1.2.
Region 5: Bicol Region,2022,1.2.1 Poverty Proportion,,1.2.
Region 6: Western Visayas,2000,1.2.1 Poverty Proportion,,1.2.
Region 6: Western Visayas,2001,1.2.1 Poverty Proportion,,1.2.
Region 6: Western Visayas,2002,1.2.1 Poverty Proportion,,1.2.
Region 6: Western Visayas,2003,1.2.1 Poverty Proportion,,1.2.
Region 6: Western Visayas,2004,1.2.1 Poverty Proportion,,1.2.
Region 6: Western Visayas,2005,1.2.1 Poverty Proportion,,1.2.
Region 6: Western Visayas,2006,1.2.1 Poverty Proportion,,1.2.
Region 6: Western Visayas,2007,1.2.1 Poverty Proportion,,1.2.
Region 6: Western Visayas,2008,1.2.1 Poverty Proportion,,1.2.
Region 6: Western Visayas,2009,1.2.1 Poverty Proportion,,1.2.
Region 6: Western Visayas,2010,1.2.1 Poverty Proportion,,1.2.
Region 6: Western Visayas,2011,1.2.1 Poverty Proportion,,1.2.
Region 6: Western Visayas,2012,1.2.1 Poverty Proportion,,1.2.
Region 6: Western Visayas,2013,1.2.1 Poverty Proportion,,1.2.
Region 6: Western Visayas,2014,1.2.1 Poverty Proportion,,1.2.
Region 6: Western Visayas,2015,1.2.1 Poverty Proportion,24.6,1.2.
Region 6: Western Visayas,2016,1.2.1 Poverty Proportion,,1.2.
Region 6: Western Visayas,2017,1.2.1 Poverty Proportion,,1.2.
Region 6: Western Visayas,2018,1.2.1 Poverty Proportion,16.3,1.2.
Region 6: Western Visayas,2019,1.2.1 Poverty Proportion,,1.2.
Region 6: Western Visayas,2020,1.2.1 Poverty Proportion,,1.2.
Region 6: Western Visayas,2021,1.2.1 Poverty Proportion,,1.2.
Region 6: Western Visayas,2022,1.2.1 Poverty Proportion,,1.2.
Region 7: Central Visayas,2000,1.2.1 Poverty Proportion,,1.2.
Region 7: Central Visayas,2001,1.2.1 Poverty Proportion,,1.2.
Region 7: Central Visayas,2002,1.2.1 Poverty Proportion,,1.2.
Region 7: Central Visayas,2003,1.2.1 Poverty Proportion,,1.2.
Region 7: Central Visayas,2004,1.2.1 Poverty Proportion,,1.2.
Region 7: Central Visayas,2005,1.2.1 Poverty Proportion,,1.2.
Region 7: Central Visayas,2006,1.2.1 Poverty Proportion,,1.2.
Region 7: Central Visayas,2007,1.2.1 Poverty Proportion,,1.2.
Region 7: Central Visayas,2008,1.2.1 Poverty Proportion,,1.2.
Region 7: Central Visayas,2009,1.2.1 Poverty Proportion,,1.2.
Region 7: Central Visayas,2010,1.2.1 Poverty Proportion,,1.2.
Region 7: Central Visayas,2011,1.2.1 Poverty Proportion,,1.2.
Region 7: Central Visayas,2012,1.2.1 Poverty Proportion,,1.2.
Region 7: Central Visayas,2013,1.2.1 Poverty Proportion,,1.2.
Region 7: Central Visayas,2014,1.2.1 Poverty Proportion,,1.2.
Region 7: Central Visayas,2015,1.2.1 Poverty Proportion,29.4,1.2.
Region 7: Central Visayas,2016,1.2.1 Poverty Proportion,,1.2.
Region 7: Central Visayas,2017,1.2.1 Poverty Proportion,,1.2.
Region 7: Central Visayas,2018,1.2.1 Poverty Proportion,17.7,1.2.
Region 7: Central Visayas,2019,1.2.1 Poverty Proportion,,1.2.
Region 7: Central Visayas,2020,1.2.1 Poverty Proportion,,1.2.
Region 7: Central Visayas,2021,1.2.1 Poverty Proportion,,1.2.
Region 7: Central Visayas,2022,1.2.1 Poverty Proportion,,1.2.
Region 8: Eastern Visayas,2000,1.2.1 Poverty Proportion,,1.2.
Region 8: Eastern Visayas,2001,1.2.1 Poverty Proportion,,1.2.
Region 8: Eastern Visayas,2002,1.2.1 Poverty Proportion,,1.2.
Region 8: Eastern Visayas,2003,1.2.1 Poverty Proportion,,1.2.
Region 8: Eastern Visayas,2004,1.2.1 Poverty Proportion,,1.2.
Region 8: Eastern Visayas,2005,1.2.1 Poverty Proportion,,1.2.
Region 8: Eastern Visayas,2006,1.2.1 Poverty Proportion,,1.2.
Region 8: Eastern Visayas,2007,1.2.1 Poverty Proportion,,1.2.
Region 8: Eastern Visayas,2008,1.2.1 Poverty Proportion,,1.2.
Region 8: Eastern Visayas,2009,1.2.1 Poverty Proportion,,1.2.
Region 8: Eastern Visayas,2010,1.2.1 Poverty Proportion,,1.2.
Region 8: Eastern Visayas,2011,1.2.1 Poverty Proportion,,1.2.
Region 8: Eastern Visayas,2012,1.2.1 Poverty Proportion,,1.2.
Region 8: Eastern Visayas,2013,1.2.1 Poverty Proportion,,1.2.
Region 8: Eastern Visayas,2014,1.2.1 Poverty Proportion,,1.2.
Region 8: Eastern Visayas,2015,1.2.1 Poverty Proportion,41.3,1.2.
Region 8: Eastern Visayas,2016,1.2.1 Poverty Proportion,,1.2.
Region 8: Eastern Visayas,2017,1.2.1 Poverty Proportion,,1.2.
Region 8: Eastern Visayas,2018,1.2.1 Poverty Proportion,30.7,1.2.
Region 8: Eastern Visayas,2019,1.2.1 Poverty Proportion,,1.2.
Region 8: Eastern Visayas,2020,1.2.1 Poverty Proportion,,1.2.
Region 8: Eastern Visayas,2021,1.2.1 Poverty Proportion,,1.2.
Region 8: Eastern Visayas,2022,1.2.1 Poverty Proportion,,1.2.
Region 9: Zamboanga Peninsula,2000,1.2.1 Poverty Proportion,,1.2.
Region 9: Zamboanga Peninsula,2001,1.2.1 Poverty Proportion,,1.2.
Region 9: Zamboanga Peninsula,2002,1.2.1 Poverty Proportion,,1.2.
Region 9: Zamboanga Peninsula,2003,1.2.1 Poverty Proportion,,1.2.
Region 9: Zamboanga Peninsula,2004,1.2.1 Poverty Proportion,,1.2.
Region 9: Zamboanga Peninsula,2005,1.2.1 Poverty Proportion,,1.2.
Region 9: Zamboanga Peninsula,2006,1.2.1 Poverty Proportion,,1.2.
Region 9: Zamboanga Peninsula,2007,1.2.1 Poverty Proportion,,1.2.
Region 9: Zamboanga Peninsula,2008,1.2.1 Poverty Proportion,,1.2.
Region 9: Zamboanga Peninsula,2009,1.2.1 Poverty Proportion,,1.2.
Region 9: Zamboanga Peninsula,2010,1.2.1 Poverty Proportion,,1.2.
Region 9: Zamboanga Peninsula,2011,1.2.1 Poverty Proportion,,1.2.
Region 9: Zamboanga Peninsula,2012,1.2.1 Poverty Proportion,,1.2.
Region 9: Zamboanga Peninsula,2013,1.2.1 Poverty Proportion,,1.2.
Region 9: Zamboanga Peninsula,2014,1.2.1 Poverty Proportion,,1.2.
Region 9: Zamboanga Peninsula,2015,1.2.1 Poverty Proportion,37.7,1.2.
Region 9: Zamboanga Peninsula,2016,1.2.1 Poverty Proportion,,1.2.
Region 9: Zamboanga Peninsula,2017,1.2.1 Poverty Proportion,,1.2.
Region 9: Zamboanga Peninsula,2018,1.2.1 Poverty Proportion,32.7,1.2.
Region 9: Zamboanga Peninsula,2019,1.2.1 Poverty Proportion,,1.2.
Region 9: Zamboanga Peninsula,2020,1.2.1 Poverty Proportion,,1.2.
Region 9: Zamboanga Peninsula,2021,1.2.1 Poverty Proportion,,1.2.
Region 9: Zamboanga Peninsula,2022,1.2.1 Poverty Proportion,,1.2.
Region 10: Northern Mindanao,2000,1.2.1 Poverty Proportion,,1.2.
Region 10: Northern Mindanao,2001,1.2.1 Poverty Proportion,,1.2.
Region 10: Northern Mindanao,2002,1.2.1 Poverty Proportion,,1.2.
Region 10: Northern Mindanao,2003,1.2.1 Poverty Proportion,,1.2.
Region 10: Northern Mindanao,2004,1.2.1 Poverty Proportion,,1.2.
Region 10: Northern Mindanao,2005,1.2.1 Poverty Proportion,,1.2.
Region 10: Northern Mindanao,2006,1.2.1 Poverty Proportion,,1.2.
Region 10: Northern Mindanao,2007,1.2.1 Poverty Proportion,,1.2.
Region 10: Northern Mindanao,2008,1.2.1 Poverty Proportion,,1.2.
Region 10: Northern Mindanao,2009,1.2.1 Poverty Proportion,,1.2.
Region 10: Northern Mindanao,2010,1.2.1 Poverty Proportion,,1.2.
Region 10: Northern Mindanao,2011,1.2.1 Poverty Proportion,,1.2.
Region 10: Northern Mindanao,2012,1.2.1 Poverty Proportion,,1.2.
Region 10: Northern Mindanao,2013,1.2.1 Poverty Proportion,,1.2.
Region 10: Northern Mindanao,2014,1.2.1 Poverty Proportion,,1.2.
Region 10: Northern Mindanao,2015,1.2.1 Poverty Proportion,38.7,1.2.
Region 10: Northern Mindanao,2016,1.2.1 Poverty Proportion,,1.2.
Region 10: Northern Mindanao,2017,1.2.1 Poverty Proportion,,1.2.
Region 10: Northern Mindanao,2018,1.2.1 Poverty Proportion,23.1,1.2.
Region 10: Northern Mindanao,2019,1.2.1 Poverty Proportion,,1.2.
Region 10: Northern Mindanao,2020,1.2.1 Poverty Proportion,,1.2.
Region 10: Northern Mindanao,2021,1.2.1 Poverty Proportion,,1.2.
Region 10: Northern Mindanao,2022,1.2.1 Poverty Proportion,,1.2.
Region 11: Davao Region,2000,1.2.1 Poverty Proportion,,1.2.
Region 11: Davao Region,2001,1.2.1 Poverty Proportion,,1.2.
Region 11: Davao Region,2002,1.2.1 Poverty Proportion,,1.2.
Region 11: Davao Region,2003,1.2.1 Poverty Proportion,,1.2.
Region 11: Davao Region,2004,1.2.1 Poverty Proportion,,1.2.
Region 11: Davao Region,2005,1.2.1 Poverty Proportion,,1.2.
Region 11: Davao Region,2006,1.2.1 Poverty Proportion,,1.2.
Region 11: Davao Region,2007,1.2.1 Poverty Proportion,,1.2.
Region 11: Davao Region,2008,1.2.1 Poverty Proportion,,1.2.
Region 11: Davao Region,2009,1.2.1 Poverty Proportion,,1.2.
Region 11: Davao Region,2010,1.2.1 Poverty Proportion,,1.2.
Region 11: Davao Region,2011,1.2.1 Poverty Proportion,,1.2.
Region 11: Davao Region,2012,1.2.1 Poverty Proportion,,1.2.
Region 11: Davao Region,2013,1.2.1 Poverty Proportion,,1.2.
Region 11: Davao Region,2014,1.2.1 Poverty Proportion,,1.2.
Region 11: Davao Region,2015,1.2.1 Poverty Proportion,23.5,1.2.
Region 11: Davao Region,2016,1.2.1 Poverty Proportion,,1.2.
Region 11: Davao Region,2017,1.2.1 Poverty Proportion,,1.2.
Region 11: Davao Region,2018,1.2.1 Poverty Proportion,19.1,1.2.
Region 11: Davao Region,2019,1.2.1 Poverty Proportion,,1.2.
Region 11: Davao Region,2020,1.2.1 Poverty Proportion,,1.2.
Region 11: Davao Region,2021,1.2.1 Poverty Proportion,,1.2.
Region 11: Davao Region,2022,1.2.1 Poverty Proportion,,1.2.
Region 12: SOCCSKSARGEN,2000,1.2.1 Poverty Proportion,,1.2.
Region 12: SOCCSKSARGEN,2001,1.2.1 Poverty Proportion,,1.2.
Region 12: SOCCSKSARGEN,2002,1.2.1 Poverty Proportion,,1.2.
Region 12: SOCCSKSARGEN,2003,1.2.1 Poverty Proportion,,1.2.
Region 12: SOCCSKSARGEN,2004,1.2.1 Poverty Proportion,,1.2.
Region 12: SOCCSKSARGEN,2005,1.2.1 Poverty Proportion,,1.2.
Region 12: SOCCSKSARGEN,2006,1.2.1 Poverty Proportion,,1.2.
Region 12: SOCCSKSARGEN,2007,1.2.1 Poverty Proportion,,1.2.
Region 12: SOCCSKSARGEN,2008,1.2.1 Poverty Proportion,,1.2.
Region 12: SOCCSKSARGEN,2009,1.2.1 Poverty Proportion,,1.2.
Region 12: SOCCSKSARGEN,2010,1.2.1 Poverty Proportion,,1.2.
Region 12: SOCCSKSARGEN,2011,1.2.1 Poverty Proportion,,1.2.
Region 12: SOCCSKSARGEN,2012,1.2.1 Poverty Proportion,,1.2.
Region 12: SOCCSKSARGEN,2013,1.2.1 Poverty Proportion,,1.2.
Region 12: SOCCSKSARGEN,2014,1.2.1 Poverty Proportion,,1.2.
Region 12: SOCCSKSARGEN,2015,1.2.1 Poverty Proportion,38.1,1.2.
Region 12: SOCCSKSARGEN,2016,1.2.1 Poverty Proportion,,1.2.
Region 12: SOCCSKSARGEN,2017,1.2.1 Poverty Proportion,,1.2.
Region 12: SOCCSKSARGEN,2018,1.2.1 Poverty Proportion,28.2,1.2.
Region 12: SOCCSKSARGEN,2019,1.2.1 Poverty Proportion,,1.2.
Region 12: SOCCSKSARGEN,2020,1.2.1 Poverty Proportion,,1.2.
Region 12: SOCCSKSARGEN,2021,1.2.1 Poverty Proportion,,1.2.
Region 12: SOCCSKSARGEN,2022,1.2.1 Poverty Proportion,,1.2.
CAR: Cordillera Administrative Region,2000,1.2.1 Poverty Proportion,,1.2.
CAR: Cordillera Administrative Region,2001,1.2.1 Poverty Proportion,,1.2.
CAR: Cordillera Administrative Region,2002,1.2.1 Poverty Proportion,,1.2.
CAR: Cordillera Administrative Region,2003,1.2.1 Poverty Proportion,,1.2.
CAR: Cordillera Administrative Region,2004,1.2.1 Poverty Proportion,,1.2.
CAR: Cordillera Administrative Region,2005,1.2.1 Poverty Proportion,,1.2.
CAR: Cordillera Administrative Region,2006,1.2.1 Poverty Proportion,,1.2.
CAR: Cordillera Administrative Region,2007,1.2.1 Poverty Proportion,,1.2.
CAR: Cordillera Administrative Region,2008,1.2.1 Poverty Proportion,,1.2.
CAR: Cordillera Administrative Region,2009,1.2.1 Poverty Proportion,,1.2.
CAR: Cordillera Administrative Region,2010,1.2.1 Poverty Proportion,,1.2.
CAR: Cordillera Administrative Region,2011,1.2.1 Poverty Proportion,,1.2.
CAR: Cordillera Administrative Region,2012,1.2.1 Poverty Proportion,,1.2.
CAR: Cordillera Administrative Region,2013,1.2.1 Poverty Proportion,,1.2.
CAR: Cordillera Administrative Region,2014,1.2.1 Poverty Proportion,,1.2.
CAR: Cordillera Administrative Region,2015,1.2.1 Poverty Proportion,22.7,1.2.
CAR: Cordillera Administrative Region,2016,1.2.1 Poverty Proportion,,1.2.
CAR: Cordillera Administrative Region,2017,1.2.1 Poverty Proportion,,1.2.
CAR: Cordillera Administrative Region,2018,1.2.1 Poverty Proportion,12,1.2.
CAR: Cordillera Administrative Region,2019,1.2.1 Poverty Proportion,,1.2.
CAR: Cordillera Administrative Region,2020,1.2.1 Poverty Proportion,,1.2.
CAR: Cordillera Administrative Region,2021,1.2.1 Poverty Proportion,,1.2.
CAR: Cordillera Administrative Region,2022,1.2.1 Poverty Proportion,,1.2.
NCR: National Capital Region,2000,1.4.1 Net Elem Enrolment Rate (Boys),100.13,1.4.
NCR: National Capital Region,2001,1.4.1 Net Elem Enrolment Rate (Boys),96.57,1.4.
NCR: National Capital Region,2002,1.4.1 Net Elem Enrolment Rate (Boys),96.52,1.4.
NCR: National Capital Region,2003,1.4.1 Net Elem Enrolment Rate (Boys),95.81,1.4.
NCR: National Capital Region,2004,1.4.1 Net Elem Enrolment Rate (Boys),93.75,1.4.
NCR: National Capital Region,2005,1.4.1 Net Elem Enrolment Rate (Boys),91.65,1.4.
NCR: National Capital Region,2006,1.4.1 Net Elem Enrolment Rate (Boys),92,1.4.
NCR: National Capital Region,2007,1.4.1 Net Elem Enrolment Rate (Boys),93.21,1.4.
NCR: National Capital Region,2008,1.4.1 Net Elem Enrolment Rate (Boys),92.71,1.4.
NCR: National Capital Region,2009,1.4.1 Net Elem Enrolment Rate (Boys),89.98,1.4.
NCR: National Capital Region,2010,1.4.1 Net Elem Enrolment Rate (Boys),95.2,1.4.
NCR: National Capital Region,2011,1.4.1 Net Elem Enrolment Rate (Boys),97.97,1.4.
NCR: National Capital Region,2012,1.4.1 Net Elem Enrolment Rate (Boys),97.87,1.4.
NCR: National Capital Region,2013,1.4.1 Net Elem Enrolment Rate (Boys),98.77,1.4.
NCR: National Capital Region,2014,1.4.1 Net Elem Enrolment Rate (Boys),98.13,1.4.
NCR: National Capital Region,2015,1.4.1 Net Elem Enrolment Rate (Boys),98.8,1.4.
NCR: National Capital Region,2016,1.4.1 Net Elem Enrolment Rate (Boys),95.3,1.4.
NCR: National Capital Region,2017,1.4.1 Net Elem Enrolment Rate (Boys),92.2,1.4.
NCR: National Capital Region,2018,1.4.1 Net Elem Enrolment Rate (Boys),91.85,1.4.
NCR: National Capital Region,2019,1.4.1 Net Elem Enrolment Rate (Boys),89.43,1.4.
NCR: National Capital Region,2020,1.4.1 Net Elem Enrolment Rate (Boys),80.6316,1.4.
NCR: National Capital Region,2021,1.4.1 Net Elem Enrolment Rate (Boys),,1.4.
NCR: National Capital Region,2022,1.4.1 Net Elem Enrolment Rate (Boys),,1.4.
Region 1: Ilocos Region,2000,1.4.1 Net Elem Enrolment Rate (Boys),98.41,1.4.
Region 1: Ilocos Region,2001,1.4.1 Net Elem Enrolment Rate (Boys),91.44,1.4.
Region 1: Ilocos Region,2002,1.4.1 Net Elem Enrolment Rate (Boys),89.89,1.4.
Region 1: Ilocos Region,2003,1.4.1 Net Elem Enrolment Rate (Boys),88.65,1.4.
Region 1: Ilocos Region,2004,1.4.1 Net Elem Enrolment Rate (Boys),86.96,1.4.
Region 1: Ilocos Region,2005,1.4.1 Net Elem Enrolment Rate (Boys),84.8,1.4.
Region 1: Ilocos Region,2006,1.4.1 Net Elem Enrolment Rate (Boys),82.89,1.4.
Region 1: Ilocos Region,2007,1.4.1 Net Elem Enrolment Rate (Boys),83.3,1.4.
Region 1: Ilocos Region,2008,1.4.1 Net Elem Enrolment Rate (Boys),83.14,1.4.
Region 1: Ilocos Region,2009,1.4.1 Net Elem Enrolment Rate (Boys),92.51,1.4.
Region 1: Ilocos Region,2010,1.4.1 Net Elem Enrolment Rate (Boys),97.53,1.4.
Region 1: Ilocos Region,2011,1.4.1 Net Elem Enrolment Rate (Boys),98.13,1.4.
Region 1: Ilocos Region,2012,1.4.1 Net Elem Enrolment Rate (Boys),97.47,1.4.
Region 1: Ilocos Region,2013,1.4.1 Net Elem Enrolment Rate (Boys),97.54,1.4.
Region 1: Ilocos Region,2014,1.4.1 Net Elem Enrolment Rate (Boys),98.25,1.4.
